incident_name,Date ,Acres,Longitude,Latitude
3-16 Fire,2018-07-15T18:54:00Z,89,-121.27049,40.94666
W1 McDonald Fire,2019-08-08T18:42:41Z,1020,-120.275298,40.943799
Delta Fire,2018-09-05T12:51:00Z,63311,-122.43,40.9425
Dodge Fire,2015-08-03T14:15:00Z,10570,-120.105,40.938
Deep Fire,2023-08-16T08:28:40Z,,-122.94871,40.93686
Six Rivers (SRF) Lightning Complex,2022-08-05T21:44:29Z,,-123.5862017,40.9269568
Corner Fire,2017-08-17T14:15:00Z,17,-121.5935,40.92602
Saddle Fire ,2015-06-10T15:00:00Z,1542,-123.168,40.924
Bald Fire,2014-07-30T20:15:00Z,39736,-121.368,40.901
3-2 Willow (Previously H-1 Fire),2019-08-07T18:48:57Z,107,-121.320838,40.900458
Hirz Fire,2018-08-09T01:55:00Z,46150,-122.219,40.896
Coyote Fire,2013-08-09T15:51:00Z,97,-120.958126,40.88886
Green Hill Fire,2018-11-12T17:39:00Z,10,-124.001849,40.888785
R-1 Fire,2019-08-07T17:21:13Z,130,-120.336977,40.886677
Blue Fire,2017-10-08T16:40:00Z,20,-123.96844,40.88516
Red Fire,2014-01-04T12:00:00Z,333,-123.773779,40.884415
Dixie Fire,2015-06-19T16:15:00Z,60,-121.033667,40.875667
Chicken Fire,2021-07-18T13:34:00Z,55,-120.45187,40.86955
Knob Fire,2021-08-29T08:00:00Z,2421,-123.6744,40.8652
Salt Fire,2021-06-30T14:55:56Z,12660,-122.348956,40.860525
3-12 Fire,2015-07-23T17:30:00Z,77,-121.101623,40.856422
Brock Fire,2020-06-04T16:36:17Z,15,-122.097933,40.837885
Horn Fire,2018-11-08T11:25:00Z,88,-120.19336,40.83116
Crestline Fire,2018-07-24T15:24:00Z,51,-121.90215,40.824
Hobo Fire ,2020-09-01T09:37:58Z,,-123.12461,40.82126
Peg Fire,2017-08-26T12:35:00Z,157,-120.48641,40.80968
Horn Fire ,2020-06-02T17:01:52Z,37,-120.288882,40.809323
Sandy Fire,2017-08-02T11:13:00Z,32,-123.375,40.804
Sandy Fire,2017-08-02T08:30:00Z,32,-123.39253,40.79902
Flat Fire,2020-06-30T17:40:16Z,62,-123.437051,40.791509
Lincoln Fire,2020-07-27T18:50:25Z,25,-124.19954,40.78804
 Bridge Fire,2017-10-31T11:22:00Z,37,-122.309,40.774
R-8 Pinecone Fire ,2020-08-26T08:03:48Z,567,-120.536,40.773
Helena - Fork Fire,2017-08-30T18:00:00Z,21846,-123.10003,40.76025
Monument Fire,2021-07-30T12:28:00Z,223124,-123.337,40.752
Oregon Fire,2014-08-24T16:36:00Z,461,-122.946,40.7412
Highland Fire,2018-07-20T13:26:00Z,63,-122.649626,40.741186
R-1 Fire,2021-06-30T20:49:00Z,,-120.24,40.74
Ridge Fire,2023-08-04T14:45:00Z,28,-122.624538,40.735974
Wonder Fire,2023-07-24T16:15:00Z,162,-122.3232056,40.7316228
Fawn Fire,2021-09-22T16:45:00Z,8578,-122.320243,40.729811
Democrat Fire,2015-08-25T14:08:00Z,128,-122.96174,40.724898
Eiler Fire,2014-07-31T18:04:00Z,32416,-121.562,40.72
Hopper Fire,2017-09-01T11:21:00Z,25,-122.02525,40.71923
Mountain Fire,2019-08-22T11:02:09Z,600,-122.241944,40.715556
Gulch Fire,2014-09-10T08:30:00Z,1375,-122.171,40.7101
Jones Fire,2017-10-08T04:53:00Z,40,-122.24199,40.70627
King Fire,2017-06-26T12:30:00Z,19,-122.645079,40.703775
Grape Fire,2018-04-24T16:59:00Z,0,-123.55012,40.70258
R-4 Fire,2017-08-30T08:30:00Z,18618,-119.93499,40.69573
Oak Fire,2017-07-01T00:48:00Z,128,-122.0122,40.69554
Sky Fire,2017-07-29T17:29:00Z,17,-122.17384,40.69259
Lake Fire,2016-09-10T15:45:00Z,75,-122.4096,40.68192
Snowstorm Fire,2019-07-05T16:37:04Z,263,-120.392768,40.679318
Ranchera Fire,2018-09-04T14:43:00Z,13,-122.400556,40.678889
Fern Fire,2015-08-02T03:00:00Z,75,-121.93244,40.67868
Flanagan Fire ,2022-03-04T10:31:00Z,88,-122.4073,40.67671
Woodman Fire,2021-04-01T15:56:00Z,35,-122.0536419,40.6758842
Dry Fire,2014-07-09T13:45:00Z,143,-122.2215,40.6569
Carr Fire,2018-07-23T13:15:00Z,229651,-122.62357,40.65428
Maxwell Fire,2021-10-05T15:34:31Z,80,-123.02375,40.649917
Antelope Fire,2017-07-06T13:00:00Z,0,-120.9643,40.6361
Bar Fire,2020-04-25T14:59:00Z,55,-122.97693,40.63442
Whaleback Fire,2018-07-27T13:32:00Z,18703,-120.868091,40.633536
Vista Fire,2018-07-08T14:41:00Z,31,-122.23449,40.62693
South Fork Complex,2023-08-15T08:00:00Z,,-123.662677,40.623606
Wood Fire,2020-02-23T17:50:20Z,57,-120.49392,40.62155
Pilot Fire,2019-01-01T14:14:00Z,30,-123.6755556,40.61805556
Mule Fire,2021-08-25T00:00:00Z,10,-122.514391,40.616416
Kerlin Fire,2018-09-04T15:20:00Z,1751,-123.52019,40.616251
Rock Fire,2021-06-15T17:14:55Z,108,-122.49164,40.61468
Keswick Fire,2016-06-11T16:02:00Z,24,-122.46777,40.61388
Cow Fire,2019-09-24T08:40:45Z,16,-122.039167,40.612556
Mountain Fire,2016-08-09T12:14:00Z,35,-122.47091,40.61213
Masonic Fire,2018-10-14T11:33:00Z,38,-122.38366,40.60866
House Fire,2021-08-04T00:00:00Z,60,-122.506112,40.604986
Flat Fire,2018-06-28T18:01:00Z,300,-122.9144,40.60402
Keswick Fire,2015-07-07T12:34:00Z,18,-122.4397,40.5953
Silver Fire,2018-09-28T14:44:00Z,76,-122.17173,40.5939
R-1 Fire,2019-08-28T19:48:14Z,3380,-120.581,40.593
R-1 Fire,2020-08-11T07:37:23Z,285,-120.549595,40.590714
Cassel Fire,2014-07-05T18:44:00Z,75,-121.3415,40.5719
Horse Fire,2019-08-24T16:33:58Z,131,-120.544,40.562
Gilbert Fire,2019-08-04T17:18:21Z,30,-122.25409,40.55924
Redwood Fire,2020-10-23T13:52:08Z,102,-123.88658,40.55823
Burney Lightning Series (Warner Fire),2013-08-19T17:48:00Z,196,-121.3754,40.5445
Zogg Fire,2020-09-27T16:03:27Z,56338,-122.56656,40.53927
Branstetter Fire ,2022-09-01T12:13:00Z,34,-122.3975,40.5336
Cow Fire,2021-06-20T16:38:04Z,761,-122.12107,40.53297
Bascom Fire,2018-06-23T12:54:00Z,328,-122.17457,40.52909
Bear Fire ,2020-02-15T17:48:27Z,15,-123.6378411,40.511092
Mallard Fire,2015-07-29T16:30:00Z,75,-122.199227,40.509552
Creek Fire,2018-06-24T12:29:00Z,1678,-122.42308,40.50318
Plains Fire,2019-10-10T15:49:07Z,42,-122.19911,40.4988
Sprig Fire,2015-07-30T12:57:00Z,90,-122.20109,40.49865
Clover Fire,2013-09-09T12:32:00Z,8073,-122.535496,40.498332
Tower Fire,2018-10-14T06:45:00Z,12,-122.51597,40.49618
North Fire,2017-07-15T18:10:00Z,10,-122.38619,40.48972
Grace Fire,2017-04-03T16:00:00Z,45,-121.85645,40.48712
Cottage Fire,2019-08-15T15:09:55Z,156,-122.159393,40.484329
Dersch Fire,2013-11-07T16:10:00Z,33,-122.140914,40.483662
Dersch Fire,2020-10-25T12:54:39Z,133,-122.18102,40.47646
Pine Fire,2021-06-23T13:42:00Z,50,-122.481055,40.475558
Walker Fire,2015-09-11T15:08:00Z,109,-122.52541,40.47512
Cloverdale Fire,2013-08-14T15:37:00Z,27,-122.48259,40.473356
Laverne Fire,2017-07-18T12:39:00Z,180,-122.43608,40.47106
Lower Fire,2019-08-12T14:16:53Z,46,-122.54364,40.46968
River Fire,2017-10-14T16:00:00Z,148,-123.51619,40.46836
Hiding Fire,2021-08-01T00:00:00Z,50,-122.482826,40.466364
Horse Fire,2019-07-12T19:08:54Z,30,-122.435492,40.463936
Rock Fire,2018-03-27T16:20:00Z,11,-121.77419,40.4635
Platina Fire,2020-07-19T17:05:41Z,333,-122.792645,40.462621
Stafford Fire,2016-08-11T14:57:00Z,23,-124.05804,40.4572
R-3 Fire,2020-06-24T07:49:19Z,210,-120.04635,40.44793
Platina Fire,2022-04-27T13:56:00Z,10,-122.690559,40.44412
Peter Fire ,2022-07-14T16:56:00Z,304,-122.3182313,40.4411992
Forward Fire,2022-09-09T14:31:00Z,160,-121.81822,40.44109
