case_id,t_model,t_cap,Longitude,Latitude
3045647,GE1.6-100,1600,-102.740387,40.767895
3045618,GE1.6-100,1600,-102.73999,40.746693
3052273,GE2.4-107,2400,-102.739632,34.691212
3050261,V100-2.0,2000,-102.739494,35.280346
3050280,V100-2.0,2000,-102.739159,35.300053
3043527,GE1.6-100,1600,-102.738289,40.726292
3045646,GE1.6-100,1600,-102.737389,40.771793
3043525,GE1.6-100,1600,-102.73719,40.720394
3050260,V100-2.0,2000,-102.736954,35.279076
3045619,GE1.6-100,1600,-102.736588,40.751492
3050279,V100-2.0,2000,-102.736488,35.298626
3052274,GE2.4-107,2400,-102.735901,34.689678
3056060,GE2.0-116,2100,-102.734917,46.604099
3043528,GE1.6-100,1600,-102.734291,40.730595
3050259,V100-2.0,2000,-102.734261,35.277466
3053589,GE1.715-103,1715,-102.733109,46.636215
3053590,GE1.715-103,1715,-102.733078,46.632614
3045620,GE1.6-100,1600,-102.732689,40.754993
3051553,GE2.4-107,2400,-102.732193,34.726295
3045621,GE1.6-100,1600,-102.732193,40.760693
3052275,GE2.4-107,2400,-102.732155,34.688141
3050258,V100-2.0,2000,-102.731529,35.275944
3053585,GE1.715-103,1715,-102.731483,46.647602
3043529,GE1.6-100,1600,-102.731194,40.736893
3045740,GE1.6-100,1600,-102.730492,40.742294
3057139,GE2.0-116,2100,-102.730362,46.590584
3043526,GE1.6-100,1600,-102.730087,40.723892
3045622,GE1.6-100,1600,-102.729988,40.765594
3013491,GE1.5-70.5,1500,-102.729195,37.687595
3051986,GE2.4-107,2400,-102.729187,34.722488
3052276,GE2.4-107,2400,-102.728409,34.686619
3057134,GE2.0-116,2100,-102.727295,46.611546
3050309,V100-2.0,2000,-102.727188,35.300472
3045623,GE1.6-100,1600,-102.726593,40.768993
3013492,GE1.5-70.5,1500,-102.725891,37.687595
3050331,V100-2.0,2000,-102.724854,35.323025
3050308,V100-2.0,2000,-102.72464,35.299355
3053591,GE1.715-103,1715,-102.724556,46.632294
3056916,GE2.0-116,2100,-102.724533,46.584774
3056915,GE2.0-116,2100,-102.724449,46.580994
3056914,GE2.0-116,2100,-102.724411,46.577122
3050349,V100-2.0,2000,-102.723297,35.334023
3053588,GE1.715-103,1715,-102.72319,46.638935
