Permit_Address,Street_Name,Permit_ZipCode,Applicant,Permit_Purpose,Permit_Approval_Date,Permit_End_Date,Latitude,Longitude
1331 POLK ST,POLK ST,94109,Ben Thai Cafe,Shared Spaces,5/28/2024,3/15/2025,37.7892631822417,-122.42060462307
3092 16TH ST,VALENCIA ST,94103,Manny's,Shared Spaces,5/22/2024,3/15/2025,37.7650594925041,-122.421585493065
2209 POLK ST,POLK ST,94109,Macondray,Shared Spaces,5/22/2024,3/15/2025,37.7970977574799,-122.422177720613
628 20TH ST,20TH ST,94107,Third Rail,Shared Spaces,5/21/2024,3/15/2025,37.7606458180575,-122.388229179721
781 BROADWAY,BROADWAY,94133,TAISHAN CUISINE,Shared Spaces,5/21/2024,3/15/2025,37.7973275498408,-122.409845180915
698 POST ST,POST ST,94109,Lapisara Eatery,Shared Spaces,5/20/2024,3/15/2025,37.787720163563,-122.413346227614
575 HOWARD ST,HOWARD ST,94105,Southside Spirit House,Shared Spaces,5/2/2024,3/15/2025,37.7871752038024,-122.397484831366
3296 22ND ST,22ND ST,94110,BOOGALOOS,Shared Spaces,5/15/2024,3/15/2025,37.7554236422382,-122.420661761478
1548 STOCKTON ST,STOCKTON ST,94133,North Beach Cantina,Shared Spaces,5/15/2024,3/15/2025,37.8001012004403,-122.40896036412
560 CENTRAL AVE,CENTRAL AVE,94117,BISTRO CENTRAL PARC,Shared Spaces,4/9/2024,3/15/2025,37.774991237138,-122.444414896107
3329 24TH ST,24TH ST,94110,Bakery La Mejor,Shared Spaces,4/29/2024,3/15/2025,37.7520688849849,-122.419131621715
1347 FOLSOM ST,DORE ST,94103,powerhouse,Shared Spaces,4/23/2024,3/15/2025,37.773112465192,-122.412186283461
201 COLUMBUS AVE,COLUMBUS AVE,94133,Mr Bings,Shared Spaces,4/22/2024,3/15/2025,37.7971166141059,-122.40586171691
4072 18TH ST,18TH ST,94114,Poesia Restaurant,Shared Spaces,4/22/2024,3/15/2025,37.7610331141247,-122.434300769893
1001 MINNESOTA ST,MINNESOTA ST,94107,Piccino Café,Shared Spaces,4/22/2024,3/15/2025,37.7578134969775,-122.390156745507
3348 STEINER ST,STEINER ST,94123,Bagatella,Shared Spaces,4/19/2024,3/15/2025,37.8003644208348,-122.437681712652
1109 VALENCIA ST,VALENCIA ST,94110,Radio Habana Caffe,Shared Spaces,4/16/2024,3/15/2025,37.7551584029989,-122.420652697729
3801 MISSION ST,RICHLAND AVE,94110,Balompie Cafe 3,Shared Spaces,4/15/2024,3/15/2025,37.7359367363879,-122.424310242777
3625 BALBOA ST,BALBOA ST,94121,Hockey Haven,Shared Spaces,4/1/2024,3/15/2025,37.7755530545239,-122.497802606026
3838 24TH ST,24TH ST,94114,The Dubliner,Shared Spaces,3/25/2024,3/15/2025,37.7517735987344,-122.42832009347
786 BUSH ST,BUSH ST,94108,Aliment,Shared Spaces,3/25/2024,3/15/2025,37.7901204213823,-122.410190707902
431 COLUMBUS AVE,COLUMBUS AVE,94133,Barbara Pinseria Cocktail Bar,Shared Spaces,3/15/2024,3/15/2025,37.7989481680788,-122.408487162809
1402 GRANT AVE,GRANT AVE,94133,Otherwise Brewing,Shared Spaces,3/15/2024,3/15/2025,37.799993949276,-122.407339784387
511 IRVING ST,IRVING ST,94122,Lavash,Shared Spaces,3/14/2024,3/15/2025,37.764032047859,-122.463287821587
3251 PIERCE ST,PIERCE ST,94123,Norcina,Shared Spaces,3/12/2024,3/15/2025,37.8001177363613,-122.439652304168
414 COLUMBUS AVE,COLUMBUS AVE,94133,Mona Lisa Mare E Monti Restaurant and Bar,Shared Spaces,2/8/2024,3/15/2025,37.7990544531382,-122.408023423818
550 GREEN ST,GREEN ST,94133,California Fish Market,Shared Spaces,2/7/2023,3/15/2025,37.7997067241621,-122.408279867729
507 COLUMBUS AVE,COLUMBUS AVE,94133,Alimento,Shared Spaces,2/6/2024,3/15/2025,37.7997215192569,-122.409597704172
3286 22ND ST,22ND ST,94110,Latin American Club,Shared Spaces,2/5/2024,3/15/2025,37.7554234627583,-122.420664717673
3111 FILLMORE ST,FILLMORE ST,94123,COMET CLUB,Shared Spaces,2/22/2024,3/15/2025,37.7981915312886,-122.435889232875
2436 POLK ST,POLK ST,94109,Fueling Station Cafe,Shared Spaces,2/22/2024,3/15/2025,37.799313903049,-122.42228979977
2140 UNION ST,UNION ST,94123,THE BRIXTON,Shared Spaces,2/21/2024,3/15/2025,37.7973504552928,-122.434535919223
565 GREEN ST,GREEN ST,94133,Belle Cora,Shared Spaces,2/21/2024,3/15/2025,37.7993663379151,-122.408380092187
1600 STOCKTON ST,STOCKTON ST,94133,Acquolina,Shared Spaces,2/20/2024,3/15/2025,37.8006514511031,-122.409068755311
4288 24TH ST,24TH ST,94114,Firefly Restaurant,Shared Spaces,2/16/2024,3/15/2025,37.7511731975292,-122.438267644809
2251 MARKET ST,MARKET ST,94114,Santeria,Shared Spaces,2/14/2024,3/15/2025,37.7649235716163,-122.431853567824
3049 20TH ST,20TH ST,94110,Atlas Cafe,Shared Spaces,2/13/2024,3/15/2025,37.7589757709705,-122.411412547631
4732 03RD ST,03RD ST,94124,Tallio's Coffee & Tea,Shared Spaces,12/8/2023,3/15/2025,37.7353567172106,-122.390633594539
2078 HAYES ST,HAYES ST,94117,Manitas Cafe & Deli,Shared Spaces,12/18/2023,3/15/2025,37.7735117707126,-122.4507179806
901 VALENCIA ST,VALENCIA ST,94110,MIXT GREENS/MIXT,Shared Spaces,12/15/2023,3/15/2025,37.7583588635878,-122.4210771662
3464 19TH ST,19TH ST,94110,Wildhawk,Shared Spaces,11/7/2024,3/15/2025,37.760198505731,-122.420727739895
2001 FILLMORE ST,PINE ST,94115,NOOSH,Shared Spaces,11/7/2023,3/15/2025,37.7880867834956,-122.433812682967
