Latitude,Longitude,Size
33.621523,-86.602293,2195
32.789533,-97.242917,2201
32.688672,-96.633183,2268
35.7352485,-80.2321313,2286
29.803589,-93.753746,2296
40.384845,-75.146286,2299
36.2689,-119.6469,2303
40.34361,-80.60667,2326
34.158675,-118.992159,2328
41.384838,-87.637077,2359
38.216581,-85.567857,2385
29.981116,-93.952389,2423
33.83458,-117.91401,2455
35.954969,-120.864089,2464
44.61969,-88.75221,2590
32.494444,-101.35222,2597
27.77209,-82.6371,2684
47.717982,-104.133164,2690
32.925488,-96.816137,2693
45.78413,-108.56738,2734
42.3874,-72.07949,2756
35.614157,-97.580313,2828
46.953543,-123.761737,2864
37.05216,-94.405951,2866
36.74743,-121.60558,2872
32.411309,-94.429074,2876
41.372551,-88.403155,2883
39.36463,-84.168816,2886
30.38,-89.61,2905
36.91139,-121.82969,2942
31.214868,-89.284725,3021
34.19677,-119.168423,3043
40.465534,-89.03273,3070
38.088,-121.3871,3104
32.584353,-100.763944,3135
42.9828,-78.1592,3137
36.14427,-115.22733,3151
41.258852,-73.000946,3322
32.22118,-110.96911,3330
34.997433,-110.33908,3350
31.530954,-87.891408,3353
35.360512,-86.210315,3404
39.74579,-104.99139,3440
29.7560437837408,-95.3639254067463,3454
33.169217,-82.368215,3489
33.5211,-101.7906,3524
32.83582,-117.15236,3564
38.556639,-90.527306,3571
30.432649,-93.23259,3587
29.73177,-95.43444,3601
32.679185,-92.02301,3606
38.7619,-89.0128,3619
39.112098,-94.694105,3662
41.92843,-70.83454,3751
39.832588,-75.424143,3764
35.61589,-88.81837,3800
36.141347,-115.00308,3809
38.9658,-92.3175,3823
29.897429,-92.067346,3824
46.060023,-112.490614,3835
40.7864,-73.9133,3837
37.8177458507505,-81.9331898203818,3850
39.234933,-91.744148,3866
44.975231,-74.342307,3875
26.5774,-98.1854,3904
39.14188,-94.398117,3919
42.46139,-83.0446,3942
42.513858,-83.615894,4037
41.6227,-88.58362,4084
44.449349,-73.160781,4101
37.5103298,-90.3371889,4106
39.4547,-75.2011,4121
36.0752713879645,-95.9254493253163,4181
36.0851,-95.7328,4236
39.267179,-81.683429,4240
40.270359,-75.654282,4246
33.10357,-117.17838,4278
32.861516,-96.806516,4287
35.56982,-97.50922,4301
38.25634,-85.75418,4358
30.438668,-84.332457,4362
38.753635,-90.158264,4385
28.048657,-97.564005,4435
27.3038,-92.4617,4438
42.10516,-72.03195,4476
34.21946,-119.224877,4478
35.1327074313635,-98.7409421374323,4481
35.46646,-97.52124,4524
40.67536,-89.50504,4548
60.795833,-151.495556,4554
29.115853,-91.871417,4556
40.1083,-88.5986,4614
40.4586,-74.3327,4639
37.6467,-87.5033,4669
33.310999,-93.490239,4682
29.7605872345123,-95.3704583468991,4684
34.323944,-99.818194,4747
38.65567864,-80.1516867,4753
40.83595,-81.2741,4756
39.481881,-76.137166,4784
39.607222,-78.921944,4786
32.148066,-94.274363,4867
41.65144,-86.90338,4956
41.43107,-97.34489,4963
38.634597,-77.428519,4968
38.771223,-90.443673,4976
29.002076,-82.335964,4992
32.67155,-92.08936,5058
39.982525,-74.771594,5058
42.3758,-107.4265,5100
34.150278,-90.6375,5111
40.024535,-105.027726,5144
35.09233,-119.407371,5157
41.885177,-84.059029,5171
42.55553,-83.02939,5180
41.58758,-93.62616,5275
39.5636,-104.9335,5276
32.861516,-96.806516,5280
32.40538,-94.42954,5282
37.13585,-113.458743,5288
41.39047,-79.28512,5289
34.04997,-118.25358,5301
36.0195,-119.1032,5307
42.450742,-83.034595,5313
47.095,-122.2878,5313
41.8032,-71.5238,5354
44.19139,-86.26451,5361
41.690648,-73.931605,5395
42.16711,-72.54246,5417
38.620785,-90.211635,5544
40.484296,-90.637965,5549
41.018347,-79.920039,5566
41.87027,-87.888115,5611
37.796745,-122.281847,5628
35.0840419684309,-98.2332817448473,5636
40.4735,-74.3862,5676
35.347587,-96.803468,5694
44.7258,-75.4417,5752
31.61294,-96.503316,5764
45.52,-122.66999,5777
42.5083,-78.0661,5778
40.120114,-78.802068,5808
61.185716,-151.037597,5820
32.82169,-83.51452,5836
34.71411,-92.33253,5857
40.17811,-79.57707,5928
34.388343,-118.796962,5948
34.952597,-120.384126,5948
47.040595,-119.1942,5956
39.840932,-75.226205,5959
29.75816,-95.36782,5963
35.3246,-96.136,5996
43.1606,-95.2569,6001
36.6894,-119.7399,6030
29.684887,-89.97613,6046
34.0414,-117.3603,6120
41.6413,-85.4685,6125
39.57454,-105.13351,6132
29.7413372050446,-95.2104021067463,6181
38.02152,-84.25715,6220
32.861516,-96.806516,6296
37.21738,-93.29036,6300
26.603184,-81.768787,6326
29.7586,-82.3883,6332
42.708385,-87.860528,6341
21.30042,-157.85149,6393
34.08907,-117.21742,6454
48.6001297,-118.0893892,6486
31.291969,-94.62726,6486
31.876973,-85.156068,6546
40.090954,-75.31707,6624
42.105485,-87.811945,6685
26.594259,-99.089541,6715
46.278579,-119.08574,6718
29.7574,-95.36843,6721
39.1787,-89.65,6795
37.49548,-121.98914,6848
40.4924,-79.1364,6854
29.77,-95.37,6931
47.231735,-122.502724,6948
38.22602,-98.290368,7025
30.610401,-102.579371,7033
36.15106,-95.99127,7052
40.724276,-73.59322,7056
33.838556,-102.049972,7102
