name,Latitude,Longitude,STATE_NAME,Year,sourceCountry
Nov-98,46.48441,-121.936,Washington,1998,US
Sep-08,46.878,-122.3574,Washington,2008,US
Sep-08,46.99857,-121.6321,Washington,2008,US
Nov-08,45.9216,-121.718,Washington,2008,US
Aug-80,47.71782,-123.0533,Washington,1980,US
Mar-09,48.17107,-122.5089,Washington,2009,US
Oct-06,48.51673,-118.5905,Washington,2006,US
Aug-08,48.13025,-121.851,Washington,2008,US
May-09,46.51479,-122.6361,Washington,2009,US
Oct-08,46.52485,-121.2957,Washington,2008,US
5-Mar,48.7844,-118.5545,Washington,2005,US
Jul-95,48.95876,-118.4102,Washington,1995,US
2002,47.97205,-121.4008,Washington,2002,US
Jul-79,46.31401,-124.0273,Washington,1979,US
Sep-09,45.96578,-121.7576,Washington,2009,US
Sep-09,46.38448,-122.5572,Washington,2009,US
Nov-08,46.81398,-122.0571,Washington,2008,US
Jun-10,46.49406,-122.5319,Washington,2010,US
Sep-80,46.50105,-122.8722,Washington,1980,US
Jun-10,46.75225,-122.0566,Washington,2010,US
Aug-10,48.27646,-124.6802,Washington,2010,US
Oct-77,46.98578,-122.6997,Washington,1977,US
Sep-10,47.46872,-123.2259,Washington,2010,US
Oct-00,46.55354,-122.2842,Washington,2000,US
Sep-10,45.83632,-121.921,Washington,2010,US
2002,46.50835,-123.0235,Washington,2002,US
Nov-10,47.29435,-123.1267,Washington,2011,US
Aug-08,47.41995,-123.2005,Washington,2011,US
Nov-10,46.82742,-123.7095,Washington,2010,US
Jan-11,47.94485,-123.5436,Washington,2011,US
Aug-02,47.2838,-124.2306,Washington,2002,US
Jan-11,47.77293,-122.5552,Washington,2011,US
Feb-11,46.86044,-122.7043,Washington,2011,US
October 1986- 2008,48.60844,-118.4379,Washington,2008,US
Apr-11,47.90079,-121.6692,Washington,2011,US
May-11,46.97441,-122.6317,Washington,2011,US
Apr-01,46.71103,-123.4013,Washington,2001,US
1993,47.147,-122.6028,Washington,1993,US
Aug-11,48.6584,-119.8428,Washington,2011,US
Jul-09,47.7925,-122.1676,Washington,2009,US
Nov-11,48.58177,-120.8032,Washington,2011,US
Aug-78,48.19984,-120.7744,Washington,1978,US
Jul-11,46.68102,-121.6014,Washington,2011,US
Jan-12,46.59632,-122.5308,Washington,2012,US
Sep-49,48.9651,-120.5949,Washington,1949,US
May 1981/2011,46.48508,-122.7372,Washington,1981,US
Mar-07,47.6633,-122.1253,Washington,2007,US
Jun-12,47.19006,-124.199,Washington,2012,US
May-12,46.75953,-122.0246,Washington,2012,US
Oct-12,47.04433,-121.4234,Washington,2012,US
Aug-12,48.04725,-121.4469,Washington,2012,US
Sep-12,47.83843,-120.55,Washington,2012,US
September 1999-2000,48.0744,-121.7915,Washington,2000,US
Sep-08,48.02073,-121.3552,Washington,2008,US
Oct-12,47.06045,-122.157,Washington,2012,US
May-12,48.57806,-119.6985,Washington,2012,US
Oct-71,48.0835,-121.9683,Washington,1971,US
Jan-82,47.6653,-122.9714,Washington,1982,US
Aug-13,48.10892,-121.5186,Washington,2013,US
Sep-13,47.61922,-123.1592,Washington,2013,US
Nov-82,47.49367,-123.8859,Washington,1982,US
Nov-13,48.27656,-122.2138,Washington,2013,US
Nov-98,46.46447,-121.5314,Washington,1998,US
Aug-74,48.07834,-121.7363,Washington,1974,US
 2001 to 03,47.8465,-122.1357,Washington,2003,US
May-14,47.34072,-122.0775,Washington,2014,US
Jun-14,46.85524,-121.3034,Washington,2014,US
Aug-14,47.67304,-122.941,Washington,2014,US
Mar-14,46.96114,-124.1526,Washington,2014,US
Sep-14,46.73581,-121.3201,Washington,2014,US
Oct-14,47.1352,-122.0669,Washington,2014,US
Oct-14,48.44425,-119.9417,Washington,2014,US
Sep-14,48.50999,-120.793,Washington,2014,US
Nov-14,47.03189,-122.3677,Washington,2014,US
Oct-14,47.82636,-121.1057,Washington,2014,US
Jun-14,48.43505,-121.3455,Washington,2014,US
Sep-10,47.5505,-117.167,Washington,2010,US
May-15,48.13261,-121.3539,Washington,2015,US
May-15,48.64385,-119.182,Washington,2015,US
Jun-13,46.64191,-122.4607,Washington,2013,US
Dec-14,47.72298,-120.7219,Washington,2014,US
Aug-15,48.64185,-120.502,Washington,2015,US
Jun-12,47.09982,-122.6246,Washington,2012,US
Oct-04,48.36624,-117.9368,Washington,2004,US
Oct-70,48.40859,-119.0709,Washington,1970,US
Jun-97,46.958,-122.6755,Washington,1997,US
Mar-16,47.172,-122.1625,Washington,2016,US
Apr-16,47.6016,-121.6785,Washington,2016,US
Oct-13,48.80483,-117.5853,Washington,2013,US
Jul-00,47.47745,-121.0415,Washington,2000,US
Mar-99,47.57778,-124.2933,Washington,1999,US
Aug-83,47.5103,-122.0456,Washington,1983,US
Oct-09,45.8417,-121.7084,Washington,2009,US
1984,46.05333,-122.6228,Washington,1984,US
Oct-00,47.3178,-121.2802,Washington,2000,US
Oct-00,47.0274,-122.3003,Washington,2000,US
Jul-91,46.295,-121.5478,Washington,1991,US
Jul-84,48.65528,-117.7619,Washington,1984,US
Jun-89,45.8581,-122.4089,Washington,1989,US
Sep-91,46.37944,-117.9458,Washington,1991,US
Jan-00,46.48917,-117.9592,Washington,2000,US
Jul-84,46.1903,-123.1175,Washington,1984,US
Sep-81,47.7079,-122.9179,Washington,1981,US
Jul-95,46.9782,-123.3893,Washington,1995,US
Nov-82,47.425,-121.4142,Washington,1982,US
Oct-94,47.33694,-123.5894,Washington,1994,US
Oct-97,47.2475,-123.8886,Washington,1997,US
Oct-82,45.81611,-121.5708,Washington,1982,US
Apr-95,47.8925,-122.0111,Washington,1995,US
Nov-96,46.7818,-123.8793,Washington,1996,US
Oct-00,47.9261,-123.3769,Washington,2001,US
Jul-81,48.78389,-117.8106,Washington,1981,US
Jul-97,47.41306,-123.8792,Washington,1997,US
Aug-72,47.0033,-123.4822,Washington,1972,US
Oct-84,47.2831,-121.9258,Washington,1984,US
1973,47.29944,-122.1806,Washington,1973,US
Jun-90,47.1826,-121.7713,Washington,1990,US
Jun-91,47.5279,-122.3454,Washington,1991,US
Jun-88,47.7613,-122.7063,Washington,1988,US
Apr-91,45.75806,-121.2303,Washington,1991,US
Jul-60,47.1305,-123.0966,Washington,1960,US
Jul-82,48.0985,-123.3261,Washington,1982,US
Sep-00,48.0028,-121.9572,Washington,2000,US
Sep-98,48.75528,-117.4214,Washington,1998,US
May-91,48.74111,-117.4161,Washington,1991,US
Oct-96,48.65083,-117.3347,Washington,1996,US
May-90,46.94913,-122.6869,Washington,1990,US
Nov-97,47.01278,-121.4642,Washington,1997,US
Dec-79,47.3704,-122.782,Washington,1979,US
Aug-67,46.94917,-122.6869,Washington,1967,US
Jun-91,46.71833,-122.1767,Washington,1991,US
Jun-95,47.01278,-121.4642,Washington,1995,US
Aug-86,48.36861,-122.2778,Washington,1986,US
Mar-69,45.66194,-122.0144,Washington,1969,US
1967,46.385,-122.1379,Washington,1967,US
Aug-71,46.27583,-122.2083,Washington,1971,US
Nov-97,46.15194,-122.1572,Washington,1997,US
Apr-78,45.62778,-122.0194,Washington,1978,US
May-72,45.74639,-122.2375,Washington,1972,US
1958,48.2475,-121.9425,Washington,1958,US
Jan-80,48.11556,-122.0958,Washington,1980,US
Jun-80,48.1472,-121.3819,Washington,1980,US
Jul-88,47.9817,-122.0447,Washington,1988,US
Feb-00,47.7853,-121.6647,Washington,2000,US
Jul-77,46.803,-122.4133,Washington,1977,US
May-84,46.985,-122.7669,Washington,1984,US
Aug-96,46.9974,-122.1694,Washington,1996,US
Aug-96,46.71444,-120.6694,Washington,1996,US
Oct-97,46.97944,-121.0939,Washington,1997,US
1941,46.24639,-120.8681,Washington,1941,US
Apr-80,45.69833,-121.7753,Washington,1980,US
May-75,48.21167,-121.6769,Washington,1975,US
1948,47.93722,-123.82,Washington,1948,US
Oct-75,47.1772,-122.1852,Washington,1975,US
Oct-75,47.2416,-122.1833,Washington,1975,US
Aug-77,48.8178,-122.1656,Washington,1977,US
Oct-00,46.5672,-122.2963,Washington,2000,US
Apr-00,46.55861,-122.2739,Washington,2000,US
Apr-00,46.55861,-122.2739,Washington,2000,US
Jun-96,46.5579,-122.2988,Washington,1996,US
May-73,47.4549,-122.2825,Washington,1973,US
Dec-77,48.1278,-121.7692,Washington,1977,US
Jan-76,48.36361,-120.1211,Washington,1976,US
Mar-67,46.23361,-119.3172,Washington,1967,US
Apr-99,46.61583,-122.4369,Washington,1999,US
May-80,48.2681,-121.3314,Washington,1980,US
February 1973?,47.35305,-120.2955,Washington,2004,US
Mar-01,46.03944,-118.0711,Washington,2001,US
Mar-01,46.0675,-118.0519,Washington,2001,US
Apr-01,46.9382,-122.382,Washington,2001,US
Jun-82,46.9705,-123.6288,Washington,1982,US
May-96,48.95835,-119.7084,Washington,1996,US
January 83 or 84,45.7811,-122.5322,Washington,1984,US
Jun-01,46.0722,-121.3055,Washington,2001,US
Sep-01,48.5149,-121.2543,Washington,2001,US
Jul-65,47.3338,-121.2309,Washington,1965,US
Sep-01,46.67111,-121.5863,Washington,2001,US
Apr-79,46.96515,-122.69,Washington,2004,US
January early 90's,46.766,-122.1652,Washington,1992,US
May-95,47.0466,-121.51,Washington,1995,US
Oct-84,48.86,-121.6738,Washington,1984,US
May-02,46.3261,-122.4988,Washington,2002,US
Jun-99,47.6068,-121.9008,Washington,1999,US
July 1952-53,46.1911,-123.1875,Washington,1952,US
May-02,46.3758,-122.5855,Washington,2002,US
 1994?,46.7002,-122.1983,Washington,1994,US
Aug-82,47.0183,-121.5344,Washington,1982,US
Aug-77,47.6181,-121.3114,Washington,1977,US
May-01,46.6622,-122.9627,Washington,2001,US
Aug-02,45.8083,-121.9063,Washington,2002,US
Oct-99,46.3105,-122.028,Washington,1999,US
Aug-02,48.53944,-121.745,Washington,2002,US
Apr-92,47.288,-121.9658,Washington,1992,US
Sep-02,46.5347,-122.4275,Washington,2002,US
1963,47.8306,-123.2135,Washington,2004,US
Nov-02,47.0019,-121.6279,Washington,2002,US
Nov-69,46.67389,-121.5867,Washington,1969,US
Nov-69,46.6711,-121.5863,Washington,1969,US
Aug-93,45.9358,-120.9855,Washington,2003,US
Aug-72,48.76075,-122.2156,Washington,2003,US
Apr-03,46.33425,-123.5439,Washington,2003,US
Aug-02,48.83558,-117.2776,Washington,2003,US
May-03,47.94056,-122.7919,Washington,2003,US
Aug-65,46.4984,-120.4474,Washington,2003,US
Nov-78,46.35639,-123.6081,Washington,1978,US
Aug-03,45.8331,-122.3985,Washington,2003,US
Jun-78,47.4259,-123.8763,Washington,1978,US
Sep-03,46.80505,-121.0909,Washington,2003,US
Aug-92,47.4028,-123.2022,Washington,1992,US
Apr-94,47.8573,-121.6352,Washington,1998,US
Jul-01,46.0471,-122.8294,Washington,2001,US
Nov-03,46.0573,-117.9793,Washington,2003,US
Jul-97,47.763,-122.5344,Washington,2004,US
Oct-99,46.81045,-124.072,Washington,1999,US
Dec-86,47.39,-122.2187,Washington,1986,US
June 1990-1991,46.3105,-121.9256,Washington,2004,US
Feb-93,45.8911,-122.4076,Washington,1993,US
Mar-87,47.87725,-121.8943,Washington,2004,US
September 1998 ?-,47.0958,-122.2356,Washington,1998,US
September about 1980,48.68985,-122.4078,Washington,1980,US
Nov-04,46.05,-121.95,Washington,2004,US
1985,47.62769,-117.3606,Washington,2005,US
Aug-77,47.485,-121.5287,Washington,2005,US
 1973 or 74,47.18556,-122.2917,Washington,1974,US
Mar-87,48.321,-120.0745,Washington,1987,US
Sep-00,47.79,-122.54,Washington,2000,US
Jul-84,46.98621,-123.8161,Washington,2005,US
May-80,48.35552,-121.8668,Washington,1980,US
Nov-05,45.74715,-122.2339,Washington,2005,US
May-83,47.14385,-122.3055,Washington,1983,US
Jul-04,47.3631,-123.9718,Washington,2004,US
Jun-05,47.7393,-121.9749,Washington,2005,US
 1954-55,48.19923,-120.7772,Washington,2006,US
Jun-06,47.74897,-122.4966,Washington,2006,US
Jun-06,48.32956,-119.187,Washington,2006,US
Aug-06,46.84565,-122.3076,Washington,2006,US
1995,47.45411,-122.3219,Washington,2008,US
May-01,47.01562,-122.0282,Washington,2001,US
May-96,48.9588,-119.7085,Washington,2007,US
Oct-06,48.39936,-122.645,Washington,2007,US
Nov-06,46.60207,-123.3749,Washington,2006,US
Jun-82,47.00625,-123.2902,Washington,1982,US
Aug-07,48.31199,-120.6599,Washington,2007,US
Aug-03,46.52352,-122.3045,Washington,2003,US
Sep-94,46.67816,-121.5763,Washington,1994,US
Nov-07,47.49865,-123.2182,Washington,2007,US
Apr-08,46.98278,-123.1742,Washington,2008,US
Jul-87,46.75468,-122.1183,Washington,1987,US
